Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
150,tt1119644,2026-09-21,2026-09-21,,"Fringe","Fringe",https://www.imdb.com/title/tt1119644/,TV Series,8.4,46,2008,"Drama, Mystery, Sci-Fi, Thriller",272716,2008-09-09,,,
151,tt0411008,2026-09-21,2026-09-21,,"Lost","Lost",https://www.imdb.com/title/tt0411008/,TV Series,8.3,45,2004,"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",682406,2020-09-15,,,
152,tt2661044,2026-09-21,2026-09-21,,"The 100","The 100",https://www.imdb.com/title/tt2661044/,TV Series,7.5,43,2014,"Action, Drama, Mystery, Sci-Fi",308128,2016-09-07,,,
153,tt0455275,2026-09-21,2026-09-21,,"Büyük Kaçış","Prison Break",https://www.imdb.com/title/tt0455275/,TV Series,8.3,44,2005,"Action, Crime, Drama, Mystery, Thriller",680803,2006-06-16,,,
154,tt2306299,2026-09-21,2026-09-21,,"Vikingler","Vikings",https://www.imdb.com/title/tt2306299/,TV Series,8.5,45,2013,"Action, Adventure, Drama, History, Romance, War",650417,2013-03-03,,,
155,tt12637874,2026-09-21,2026-09-21,,"Fallout","Fallout",https://www.imdb.com/title/tt12637874/,TV Series,8.3,60,2024,"Action, Adventure, Drama, Sci-Fi",403900,2024-04-10,,,
156,tt1327801,2026-09-21,2026-09-21,,"Glee","Glee",https://www.imdb.com/title/tt1327801/,TV Series,6.8,45,2009,"Comedy, Drama, Music, Musical",162549,2009-09-09,,,
157,tt1578873,2026-09-21,2026-09-21,,"Sevimli Küçük Yalancılar","Pretty Little Liars",https://www.imdb.com/title/tt1578873/,TV Series,7.3,44,2010,"Drama, Mystery, Romance, Thriller",190341,2010-06-08,,,
158,tt0397442,2026-09-21,2026-09-21,,"Gossip Girl","Gossip Girl",https://www.imdb.com/title/tt0397442/,TV Series,7.5,42,2007,"Drama, Romance",217565,2007-09-19,,,
159,tt1843230,2026-09-21,2026-09-21,,"Bir Varmış Bir Yokmuş","Once Upon a Time",https://www.imdb.com/title/tt1843230/,TV Series,7.6,60,2011,"Adventure, Fantasy, Romance",249514,2011-12-09,,,
160,tt1826940,2026-09-21,2026-09-21,,"New Girl","New Girl",https://www.imdb.com/title/tt1826940/,TV Series,7.8,22,2011,"Comedy, Romance",266163,2011-09-20,,,
161,tt4145384,2026-09-21,2026-09-21,,"Scream Queens","Scream Queens",https://www.imdb.com/title/tt4145384/,TV Series,7.1,45,2015,"Comedy, Horror, Mystery",51717,2015-09-22,,,
162,tt2014230,2026-09-21,2026-09-21,,"Glee: Director's Cut Pilot Episode","Glee: Director's Cut Pilot Episode",https://www.imdb.com/title/tt2014230/,Video,8.0,48,2009,"Comedy, Drama, Musical",433,2009-09-01,"Ryan Murphy",,
163,tt1405406,2026-09-21,2026-09-21,,"Vampir Günlükleri","The Vampire Diaries",https://www.imdb.com/title/tt1405406/,TV Series,7.7,43,2009,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",389127,2009-09-10,,,
164,tt2467372,2026-09-21,2026-09-21,,"Brooklyn Nine-Nine","Brooklyn Nine-Nine",https://www.imdb.com/title/tt2467372/,TV Series,8.4,22,2013,"Comedy, Crime",424194,2013-09-17,,,
165,tt1942683,2026-09-21,2026-09-21,,"Gumball'ın Harika Dünyası","The Amazing World of Gumball",https://www.imdb.com/title/tt1942683/,TV Series,8.4,11,2011,"Animation, Short, Adventure, Comedy, Family, Fantasy, Music, Musical, Sci-Fi",56052,2011-05-02,,,
166,tt0096697,2026-09-21,2026-09-21,,"Simpson Ailesi","The Simpsons",https://www.imdb.com/title/tt0096697/,TV Series,8.6,22,1989,"Animation, Comedy",473162,1989-12-17,,,
167,tt1439629,2026-09-21,2026-09-21,,"Community","Community",https://www.imdb.com/title/tt1439629/,TV Series,8.5,22,2009,"Comedy",314713,2009-09-17,,,
168,tt0460649,2026-09-21,2026-09-21,,"How I Met Your Mother","How I Met Your Mother",https://www.imdb.com/title/tt0460649/,TV Series,8.3,22,2005,"Comedy, Drama, Romance",789886,2005-09-19,,,
169,tt1442437,2026-09-21,2026-09-21,,"Modern Family","Modern Family",https://www.imdb.com/title/tt1442437/,TV Series,8.5,22,2009,"Comedy, Drama, Romance",547724,2016-09-07,,,
170,tt4477976,2026-09-21,2026-09-21,,"Superstore","Superstore",https://www.imdb.com/title/tt4477976/,TV Series,7.8,22,2015,"Comedy",86735,2015-11-30,,,
171,tt2051741,2026-09-21,2026-09-21,,"Umutsuz Ev Kadınları","Umutsuz Ev Kadinlari",https://www.imdb.com/title/tt2051741/,TV Series,5.4,90,2011,"Drama, Mystery, Romance",855,2011-10-02,,,
172,tt33295206,2026-09-21,2026-09-21,,"Eyvah Yayindayiz: Yedi Numara","Eyvah Yayindayiz: Yedi Numara",https://www.imdb.com/title/tt33295206/,TV Episode,9.1,,2000,"Talk-Show",16,2000,,,
173,tt0448284,2026-09-21,2026-09-21,,"En Son Babalar Duyar","En Son Babalar Duyar",https://www.imdb.com/title/tt0448284/,TV Series,6.3,75,2002,"Comedy",2406,2002-09-21,,,
174,tt0424619,2026-09-21,2026-09-21,,"Cennet Mahallesi","Cennet Mahallesi",https://www.imdb.com/title/tt0424619/,TV Series,4.8,60,2004,"Comedy",3032,2004,,,
175,tt2710838,2026-09-21,2026-09-21,,"Komedi Dükkanı","Komedi Dükkani",https://www.imdb.com/title/tt2710838/,TV Series,8.0,70,2007,"Comedy",4358,2007-09-14,,,
176,tt0834023,2026-09-21,2026-09-21,,"İki Aile","Iki Aile",https://www.imdb.com/title/tt0834023/,TV Series,5.7,85,2006,"Comedy",1008,2006-06-19,,,
177,tt4787052,2026-09-21,2026-09-21,,"Kiralik Ask","Kiralik Ask",https://www.imdb.com/title/tt4787052/,TV Series,7.2,120,2015,"Comedy, Romance",11941,2015-06-19,,,
178,tt0454657,2026-09-21,2026-09-21,,"Yarim Elma","Yarim Elma",https://www.imdb.com/title/tt0454657/,TV Series,5.9,60,2002,"Comedy",753,2002,,,
179,tt1807860,2026-09-21,2026-09-21,,"Yahşi Cazibe","Yahsi Cazibe",https://www.imdb.com/title/tt1807860/,TV Series,5.5,90,2010,"Comedy",1630,2010-07-16,,,
180,tt5616644,2026-09-21,2026-09-21,,"Aşk Yeniden","Ask Yeniden",https://www.imdb.com/title/tt5616644/,TV Series,7.1,120,2015,"Comedy, Romance",2726,2015-02-10,,,
181,tt2735500,2026-09-21,2026-09-21,,"Beni Böyle Sev","Beni Böyle Sev",https://www.imdb.com/title/tt2735500/,TV Series,7.1,100,2013,"Comedy, Romance",858,2013-02-11,,,
182,tt1034368,2026-09-21,2026-09-21,,"Kavak Yelleri","Kavak Yelleri",https://www.imdb.com/title/tt1034368/,TV Series,5.7,100,2007,"Drama, Romance",2727,2007-05-31,,,
183,tt0878797,2026-09-21,2026-09-21,,"Hatirla Sevgili","Hatirla Sevgili",https://www.imdb.com/title/tt0878797/,TV Series,7.8,90,2006,"Drama, History, Romance",3597,2006-11-07,,,
184,tt1286677,2026-09-21,2026-09-21,,"Aşk-ı Memnu","Ask-i Memnu",https://www.imdb.com/title/tt1286677/,TV Series,7.6,90,2008,"Drama, Romance",17947,2008-09-04,,,
185,tt2050064,2026-09-21,2026-09-21,,"Kuzey Güney","Kuzey Güney",https://www.imdb.com/title/tt2050064/,TV Series,7.7,90,2011,"Drama",12854,2011-09-07,,,
186,tt2339608,2026-09-21,2026-09-21,,"Karadayi","Karadayi",https://www.imdb.com/title/tt2339608/,TV Series,7.7,120,2012,"Action, Crime, Drama, Romance",6580,2012-09,,,
187,tt7827112,2026-09-21,2026-09-21,,"Tolgshow","Tolgshow",https://www.imdb.com/title/tt7827112/,TV Series,7.8,100,2017,"Comedy, Reality-TV",2337,2017-12-30,,,
188,tt4241744,2026-09-21,2026-09-21,,"Arkadaşım Hoş Geldin","Arkadasim Hosgeldin",https://www.imdb.com/title/tt4241744/,TV Series,7.9,,2013,"Comedy",3844,2013-12-31,,,
189,tt5905194,2026-09-21,2026-09-21,,"Müdür Ne'aptın?","Müdür Ne'aptin?",https://www.imdb.com/title/tt5905194/,TV Series,7.3,110,2016,"Comedy",1533,2016-03-20,,,
190,tt1468453,2026-09-21,2026-09-21,,"Çok Güzel Hareketler Bunlar","Çok Güzel Hareketler Bunlar",https://www.imdb.com/title/tt1468453/,TV Series,6.6,105,2008,"Comedy",5483,2008-05-07,,,
191,tt44006380,2026-09-21,2026-09-21,,"Tolgshow Yildizlar","Tolgshow Yildizlar",https://www.imdb.com/title/tt44006380/,TV Series,6.8,90,2026,"Comedy, Reality-TV, Talk-Show",10,2026-07-21,,,
192,tt1442449,2026-09-21,2026-09-21,,"Spartacus","Spartacus",https://www.imdb.com/title/tt1442449/,TV Series,8.4,60,2010,"Action, Adventure, Biography, Drama, Romance",298146,2016-01-07,,,
193,tt6257970,2026-09-21,2026-09-21,,"The End of the F***ing World","The End of the F***ing World",https://www.imdb.com/title/tt6257970/,TV Series,8.0,25,2017,"Adventure, Comedy, Crime, Drama, Romance, Thriller",249737,2017-10-24,,,
194,tt1355642,2026-09-21,2026-09-21,,"Fullmetal Alchemist: Brotherhood","Hagane no renkinjutsushi",https://www.imdb.com/title/tt1355642/,TV Series,9.1,24,2009,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",258327,2016-01-07,,,
